,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_1_AutoML_20190417_205327,118655561.4426519,10892.913358815074,118655561.4426519,4961.036578792157,
1,XGBoost_1_AutoML_20190417_204446,119400647.51857251,10927.060332887913,119400647.51857251,4956.483949697334,
2,XGBoost_2_AutoML_20190417_205327,121003612.42279616,11000.164199810662,121003612.42279616,5045.343321588208,
3,GBM_3_AutoML_20190417_204446,121198991.284272,11009.041342654318,121198991.284272,5129.597490728228,
4,GBM_4_AutoML_20190417_205327,121402229.80152889,11018.2680037077,121402229.80152889,5142.832153456142,
5,XGBoost_2_AutoML_20190417_204446,121486859.02302168,11022.107739585095,121486859.02302168,5037.260491959731,
6,GBM_2_AutoML_20190417_204446,121983723.3244664,11044.624182128897,121983723.3244664,5151.171069052629,
7,GBM_1_AutoML_20190417_205327,122024228.33983286,11046.457728151267,122024228.33983286,5136.0433343050845,
8,GBM_1_AutoML_20190417_204446,122317047.7470508,11059.703782066264,122317047.7470508,5199.134704173706,
9,GBM_3_AutoML_20190417_205327,122430659.26305258,11064.838871987815,122430659.26305258,5169.904928613536,
10,GBM_4_AutoML_20190417_204446,122801460.50350341,11081.582039740691,122801460.50350341,5140.187618277063,
11,GBM_2_AutoML_20190417_205327,123974897.18666764,11134.401519016084,123974897.18666764,5174.027256428177,
12,XGBoost_grid_1_AutoML_20190417_205327_model_2,125692178.9968539,11211.252338470214,125692178.9968539,5071.029397225623,
13,GBM_grid_1_AutoML_20190417_205327_model_4,131766781.58573613,11478.971277328648,131766781.58573613,5485.944763830523,
14,XGBoost_3_AutoML_20190417_205327,133757278.62416875,11565.348184303348,133757278.62416875,5389.211195189179,
15,XGBoost_3_AutoML_20190417_204446,134034456.39006156,11577.325096500554,134034456.39006156,5367.261093244623,
16,GBM_grid_1_AutoML_20190417_204446_model_2,134736169.23225614,11607.591017616709,134736169.23225614,5275.935007068864,
17,DRF_1_AutoML_20190417_205327,135412735.27440616,11636.697782206347,135412735.27440616,4888.282644387519,1.560521318228929
18,XRT_1_AutoML_20190417_205327,137932618.14504042,11744.47181209272,137932618.14504042,4929.610714070868,1.8474285723677777
19,DRF_1_AutoML_20190417_204446,138036064.02494666,11748.875011036023,138036064.02494666,4955.157545928785,1.6900273248097288
20,XRT_1_AutoML_20190417_204446,140036272.22870702,11833.692248352034,140036272.22870702,4928.30368159253,1.7011002806379865
21,GBM_grid_1_AutoML_20190417_204446_model_3,141293717.5666288,11886.703393566646,141293717.5666288,6332.658768328347,
22,GBM_grid_1_AutoML_20190417_205327_model_2,144120390.49947953,12005.015222792495,144120390.49947953,6616.883947621272,
23,GBM_5_AutoML_20190417_205327,144594529.21717766,12024.746534425483,144594529.21717766,5875.79746599207,
24,GBM_5_AutoML_20190417_204446,144685674.44382295,12028.535839570124,144685674.44382295,5853.458616728624,
25,GBM_grid_1_AutoML_20190417_204446_model_1,146308075.87247995,12095.787525931497,146308075.87247995,5733.430802563873,
26,XGBoost_grid_1_AutoML_20190417_205327_model_3,149463681.33864576,12225.533989918222,149463681.33864576,5742.770871034879,
27,XGBoost_grid_1_AutoML_20190417_204446_model_2,152374009.69397965,12343.98678280156,152374009.69397965,5994.2035095475085,
28,GBM_grid_1_AutoML_20190417_205327_model_5,155696699.62215462,12477.848357074814,155696699.62215462,7143.8272981428445,
29,GBM_grid_1_AutoML_20190417_205327_model_1,189341973.95921025,13760.158936553396,189341973.95921025,8476.006070923739,
30,DeepLearning_1_AutoML_20190417_205327,192190877.95083487,13863.292464304242,192190877.95083487,7181.393762943926,
31,GBM_grid_1_AutoML_20190417_205327_model_3,195049841.35786268,13966.024536633991,195049841.35786268,8098.835577630234,
32,DeepLearning_1_AutoML_20190417_204446,209124646.04852858,14461.142625965922,209124646.04852858,7082.3577716835225,
33,DeepLearning_grid_1_AutoML_20190417_205327_model_1,228193313.48246396,15106.068763330315,228193313.48246396,8180.700616546516,
34,DeepLearning_grid_1_AutoML_20190417_205327_model_2,256580368.3366592,16018.126242999184,256580368.3366592,9196.865901109113,
35,DeepLearning_grid_1_AutoML_20190417_205327_model_4,277534591.7375416,16659.36948799508,277534591.7375416,9435.525917156168,
36,DeepLearning_grid_1_AutoML_20190417_204446_model_2,298400742.5156202,17274.279797306168,298400742.5156202,9679.322807435918,
37,XGBoost_grid_1_AutoML_20190417_204446_model_3,300199051.3189886,17326.25323949147,300199051.3189886,9992.476328967128,
38,DeepLearning_grid_1_AutoML_20190417_204446_model_1,306490541.7182597,17506.871271539632,306490541.7182597,9527.347309825866,
39,DeepLearning_grid_1_AutoML_20190417_205327_model_3,312364641.40110934,17673.840595668767,312364641.40110934,10887.105799793,
40,GBM_grid_1_AutoML_20190417_205327_model_6,670743325.6798958,25898.71281897801,670743325.6798958,19835.468229389433,5.092283971651549
41,XGBoost_grid_1_AutoML_20190417_205327_model_1,924999418.8512725,30413.80309746337,924999418.8512725,13015.66757334333,
42,GBM_grid_1_AutoML_20190417_204446_model_4,1279154551.9974587,35765.27019326792,1279154551.9974587,28679.96933354701,5.373776130169052
43,StackedEnsemble_AllModels_AutoML_20190417_204446,1281884652.7001464,35803.41677410337,1281884652.7001464,28880.51603861719,5.389777690947523
44,GBM_grid_1_AutoML_20190417_205327_model_7,1444992899.546268,38013.062222692184,1444992899.546268,30698.82246592567,5.424277133379049
45,StackedEnsemble_BestOfFamily_AutoML_20190417_204446,1858504985.9833732,43110.38141774407,1858504985.9833732,34900.190106649265,5.507788208150921
46,GLM_grid_1_AutoML_20190417_205327_model_1,2174167259.9716334,46627.96650049875,2174167259.9716334,37785.61120847372,5.558006331063907
47,GLM_grid_1_AutoML_20190417_204446_model_1,2174167259.9716334,46627.96650049875,2174167259.9716334,37785.61120847372,5.558006331063907
48,XGBoost_grid_1_AutoML_20190417_204446_model_1,3197076988.513444,56542.70057676273,3197076988.513444,34971.23428908065,
