,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_1_AutoML_20190417_204446,119400647.51857251,10927.060332887913,119400647.51857251,4956.483949697334,
1,GBM_3_AutoML_20190417_204446,121198991.284272,11009.041342654318,121198991.284272,5129.597490728228,
2,XGBoost_2_AutoML_20190417_204446,121486859.02302168,11022.107739585095,121486859.02302168,5037.260491959731,
3,GBM_2_AutoML_20190417_204446,121983723.3244664,11044.624182128897,121983723.3244664,5151.171069052629,
4,GBM_1_AutoML_20190417_204446,122317047.7470508,11059.703782066264,122317047.7470508,5199.134704173706,
5,GBM_4_AutoML_20190417_204446,122801460.50350341,11081.582039740691,122801460.50350341,5140.187618277063,
6,XGBoost_3_AutoML_20190417_204446,134034456.39006156,11577.325096500554,134034456.39006156,5367.261093244623,
7,GBM_grid_1_AutoML_20190417_204446_model_2,134736169.23225614,11607.591017616709,134736169.23225614,5275.935007068864,
8,DRF_1_AutoML_20190417_204446,138036064.02494666,11748.875011036023,138036064.02494666,4955.157545928785,1.6900273248097288
9,XRT_1_AutoML_20190417_204446,140036272.22870702,11833.692248352034,140036272.22870702,4928.30368159253,1.7011002806379865
10,GBM_grid_1_AutoML_20190417_204446_model_3,141293717.5666288,11886.703393566646,141293717.5666288,6332.658768328347,
11,GBM_5_AutoML_20190417_204446,144685674.44382295,12028.535839570124,144685674.44382295,5853.458616728624,
12,GBM_grid_1_AutoML_20190417_204446_model_1,146308075.87247995,12095.787525931497,146308075.87247995,5733.430802563873,
13,XGBoost_grid_1_AutoML_20190417_204446_model_2,152374009.69397965,12343.98678280156,152374009.69397965,5994.2035095475085,
14,DeepLearning_1_AutoML_20190417_204446,209124646.04852858,14461.142625965922,209124646.04852858,7082.3577716835225,
15,DeepLearning_grid_1_AutoML_20190417_204446_model_2,298400742.5156202,17274.279797306168,298400742.5156202,9679.322807435918,
16,XGBoost_grid_1_AutoML_20190417_204446_model_3,300199051.3189886,17326.25323949147,300199051.3189886,9992.476328967128,
17,DeepLearning_grid_1_AutoML_20190417_204446_model_1,306490541.7182597,17506.871271539632,306490541.7182597,9527.347309825866,
18,GBM_grid_1_AutoML_20190417_204446_model_4,1279154551.9974587,35765.27019326792,1279154551.9974587,28679.96933354701,5.373776130169052
19,StackedEnsemble_AllModels_AutoML_20190417_204446,1281884652.7001464,35803.41677410337,1281884652.7001464,28880.51603861719,5.389777690947523
20,StackedEnsemble_BestOfFamily_AutoML_20190417_204446,1858504985.9833732,43110.38141774407,1858504985.9833732,34900.190106649265,5.507788208150921
21,GLM_grid_1_AutoML_20190417_204446_model_1,2174167259.9716334,46627.96650049875,2174167259.9716334,37785.61120847372,5.558006331063907
22,XGBoost_grid_1_AutoML_20190417_204446_model_1,3197076988.513444,56542.70057676273,3197076988.513444,34971.23428908065,
