,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_4_AutoML_20190417_215559,117618451.38303776,10845.204072908806,117618451.38303776,5166.3025605133835,
1,XGBoost_grid_1_AutoML_20190417_211914_model_3,118121943.36549428,10868.391940185737,118121943.36549428,4726.8982140817825,
2,XGBoost_grid_1_AutoML_20190417_215559_model_4,118135855.87579896,10869.031965901977,118135855.87579896,4957.570938405711,
3,XGBoost_1_AutoML_20190417_205327,118655561.4426519,10892.913358815074,118655561.4426519,4961.036578792157,
4,XGBoost_1_AutoML_20190417_215559,118700524.94684252,10894.977051230651,118700524.94684252,4942.231576318322,
5,XGBoost_1_AutoML_20190417_211914,118890634.12717912,10903.698185807378,118890634.12717912,4922.220711286338,
6,XGBoost_1_AutoML_20190417_204446,119400647.51857251,10927.060332887913,119400647.51857251,4956.483949697334,
7,XGBoost_1_AutoML_20190417_210453,119645657.07585192,10938.265725235053,119645657.07585192,4951.189072621323,
8,XGBoost_1_AutoML_20190417_213614,119719589.20437756,10941.644721173208,119719589.20437756,4960.0341898205,
9,GBM_4_AutoML_20190417_210453,120421237.71502104,10973.661089856068,120421237.71502104,5127.5202779008005,
10,XGBoost_2_AutoML_20190417_205327,121003612.42279616,11000.164199810662,121003612.42279616,5045.343321588208,
11,GBM_3_AutoML_20190417_204446,121198991.284272,11009.041342654318,121198991.284272,5129.597490728228,
12,GBM_1_AutoML_20190417_215559,121276223.88542691,11012.548473692495,121276223.88542691,5151.195912342311,
13,XGBoost_grid_1_AutoML_20190417_210453_model_4,121280962.73801309,11012.76362853635,121280962.73801309,5029.315160771801,
14,GBM_4_AutoML_20190417_205327,121402229.80152889,11018.2680037077,121402229.80152889,5142.832153456142,
15,GBM_4_AutoML_20190417_211914,121432445.52988732,11019.639083467631,121432445.52988732,5142.686855886803,
16,XGBoost_2_AutoML_20190417_204446,121486859.02302168,11022.107739585095,121486859.02302168,5037.260491959731,
17,XGBoost_2_AutoML_20190417_215559,121666021.60331953,11030.232164524896,121666021.60331953,5034.816293401443,
18,XGBoost_grid_1_AutoML_20190417_210453_model_2,121722216.68663906,11032.779191420403,121722216.68663906,4887.967478807334,
19,GBM_4_AutoML_20190417_213614,121804619.94757688,11036.51303390599,121804619.94757688,5122.267598689411,
20,GBM_3_AutoML_20190417_210453,121936143.3291583,11042.46998316764,121936143.3291583,5169.510279341214,
21,GBM_2_AutoML_20190417_204446,121983723.3244664,11044.624182128897,121983723.3244664,5151.171069052629,
22,GBM_1_AutoML_20190417_205327,122024228.33983286,11046.457728151267,122024228.33983286,5136.0433343050845,
23,GBM_3_AutoML_20190417_215559,122193192.68216662,11054.102979535093,122193192.68216662,5109.800113036218,
24,GBM_1_AutoML_20190417_210453,122240219.6078162,11056.229900278677,122240219.6078162,5124.379340224941,
25,GBM_1_AutoML_20190417_204446,122317047.7470508,11059.703782066264,122317047.7470508,5199.134704173706,
26,XGBoost_grid_1_AutoML_20190417_211914_model_1,122341741.46143459,11060.820107995363,122341741.46143459,5193.05116622618,
27,GBM_3_AutoML_20190417_205327,122430659.26305258,11064.838871987815,122430659.26305258,5169.904928613536,
28,XGBoost_2_AutoML_20190417_211914,122548069.63710453,11070.143162448467,122548069.63710453,5071.5377528516465,
29,XGBoost_grid_1_AutoML_20190417_211914_model_2,122591196.17890571,11072.090867532912,122591196.17890571,5008.800260691267,
30,GBM_4_AutoML_20190417_204446,122801460.50350341,11081.582039740691,122801460.50350341,5140.187618277063,
31,XGBoost_2_AutoML_20190417_213614,122847984.80722076,11083.681013418816,122847984.80722076,5039.777861055837,
32,GBM_grid_1_AutoML_20190417_211914_model_1,122934006.77830714,11087.560903025837,122934006.77830714,5293.848998801207,
33,GBM_1_AutoML_20190417_213614,123222930.62023228,11100.582445089642,123222930.62023228,5143.008869457782,
34,GBM_3_AutoML_20190417_213614,123404410.15672308,11108.75376253894,123404410.15672308,5214.890741880284,
35,XGBoost_2_AutoML_20190417_210453,123598734.64175124,11117.49677948014,123598734.64175124,5046.370578209725,
36,GBM_2_AutoML_20190417_211914,123711115.05629107,11122.549845080088,123711115.05629107,5170.537061111582,
37,GBM_2_AutoML_20190417_205327,123974897.18666764,11134.401519016084,123974897.18666764,5174.027256428177,
38,XGBoost_grid_1_AutoML_20190417_215559_model_6,124112596.59311292,11140.58331476018,124112596.59311292,4787.91342749676,
39,XGBoost_grid_1_AutoML_20190417_210453_model_5,124294495.70875312,11148.744131459522,124294495.70875312,5236.301191865043,
40,GBM_grid_1_AutoML_20190417_215559_model_1,124317691.95916696,11149.78439070312,124317691.95916696,5111.857277693462,
41,GBM_3_AutoML_20190417_211914,124363216.4692709,11151.825701169782,124363216.4692709,5179.108523072262,
42,GBM_2_AutoML_20190417_210453,124673116.6663958,11165.711650691854,124673116.6663958,5180.826470563343,
43,GBM_2_AutoML_20190417_215559,124673902.94803658,11165.746860288235,124673902.94803658,5166.498718843412,
44,GBM_2_AutoML_20190417_213614,125341824.14761464,11195.616291549773,125341824.14761464,5327.051907309492,
45,XGBoost_grid_1_AutoML_20190417_205327_model_2,125692178.9968539,11211.252338470214,125692178.9968539,5071.029397225623,
46,GBM_1_AutoML_20190417_211914,125983152.96764326,11224.221708770869,125983152.96764326,5186.5617992602,
47,GBM_grid_1_AutoML_20190417_213614_model_3,127828904.66258334,11306.144553409147,127828904.66258334,5170.536164308513,
48,XGBoost_grid_1_AutoML_20190417_213614_model_2,130239767.99404086,11412.263929389332,130239767.99404086,5472.423297697956,
49,GBM_grid_1_AutoML_20190417_205327_model_4,131766781.58573613,11478.971277328648,131766781.58573613,5485.944763830523,
50,XGBoost_3_AutoML_20190417_215559,133439727.61749934,11551.611472755625,133439727.61749934,5380.23216763122,
51,XGBoost_3_AutoML_20190417_205327,133757278.62416875,11565.348184303348,133757278.62416875,5389.211195189179,
52,GBM_grid_1_AutoML_20190417_210453_model_3,133881576.01199314,11570.720634947207,133881576.01199314,5410.66615182979,
53,XGBoost_3_AutoML_20190417_204446,134034456.39006156,11577.325096500554,134034456.39006156,5367.261093244623,
54,DRF_1_AutoML_20190417_210453,134705708.9981997,11606.278860952792,134705708.9981997,4862.273772310277,1.5657948384495897
55,GBM_grid_1_AutoML_20190417_204446_model_2,134736169.23225614,11607.591017616709,134736169.23225614,5275.935007068864,
56,DRF_1_AutoML_20190417_215559,134769295.6817239,11609.017860341326,134769295.6817239,4840.504651432123,1.5900254226212045
57,XGBoost_3_AutoML_20190417_211914,134923223.9239342,11615.645652478137,134923223.9239342,5373.666387451778,
58,DRF_1_AutoML_20190417_205327,135412735.27440616,11636.697782206347,135412735.27440616,4888.282644387519,1.560521318228929
59,GBM_grid_1_AutoML_20190417_213614_model_8,135587273.00704792,11644.194820040067,135587273.00704792,5912.472192543181,
60,XGBoost_3_AutoML_20190417_213614,135657421.68726647,11647.206604472442,135657421.68726647,5390.06122601285,
61,XGBoost_3_AutoML_20190417_210453,135715467.79781005,11649.698184837669,135715467.79781005,5439.507011931689,
62,XRT_1_AutoML_20190417_215559,135788733.40465516,11652.842288671685,135788733.40465516,4932.708110479933,2.0380033699510087
63,GBM_grid_1_AutoML_20190417_211914_model_3,136004128.40872452,11662.080792411129,136004128.40872452,5547.903578857832,
64,XRT_1_AutoML_20190417_211914,136804276.82791933,11696.33604287767,136804276.82791933,4888.687378881207,1.9322565603326585
65,DRF_1_AutoML_20190417_213614,137329231.3351008,11718.755536962994,137329231.3351008,4896.816071006918,1.5682036508218655
66,XGBoost_grid_1_AutoML_20190417_215559_model_2,137368281.06617036,11720.421539610696,137368281.06617036,5383.903464446916,
67,XGBoost_grid_1_AutoML_20190417_213614_model_6,137757936.94235918,11737.032714547538,137757936.94235918,5207.217312105617,
68,XRT_1_AutoML_20190417_205327,137932618.14504042,11744.47181209272,137932618.14504042,4929.610714070868,1.8474285723677777
69,DRF_1_AutoML_20190417_204446,138036064.02494666,11748.875011036023,138036064.02494666,4955.157545928785,1.6900273248097288
70,XRT_1_AutoML_20190417_213614,138496649.7260602,11768.459955578734,138496649.7260602,4901.966985596696,1.5625322578587617
71,DRF_1_AutoML_20190417_211914,138912071.96778095,11786.096553472695,138912071.96778095,4899.954887213389,1.375389636962078
72,XGBoost_grid_1_AutoML_20190417_213614_model_5,139137585.94668233,11795.65962321236,139137585.94668233,4634.4528204462395,
73,XRT_1_AutoML_20190417_204446,140036272.22870702,11833.692248352034,140036272.22870702,4928.30368159253,1.7011002806379865
74,XRT_1_AutoML_20190417_210453,140205018.9072074,11840.820026805888,140205018.9072074,4967.7706406742245,1.7090935022649414
75,GBM_grid_1_AutoML_20190417_210453_model_4,140910890.2771521,11870.589297804558,140910890.2771521,6230.069647710589,
76,GBM_grid_1_AutoML_20190417_204446_model_3,141293717.5666288,11886.703393566646,141293717.5666288,6332.658768328347,
77,XGBoost_grid_1_AutoML_20190417_215559_model_1,141488045.16812134,11894.87474369198,141488045.16812134,5743.439406163741,
78,XGBoost_grid_1_AutoML_20190417_213614_model_1,142657372.63285998,11943.926181656514,142657372.63285998,5695.560265885386,
79,XGBoost_grid_1_AutoML_20190417_215559_model_5,142834170.7792378,11951.325063742424,142834170.7792378,5259.601883486013,
