,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_1_AutoML_20190417_205327,118655561.4426519,10892.913358815074,118655561.4426519,4961.036578792157,
1,XGBoost_1_AutoML_20190417_204446,119400647.51857251,10927.060332887913,119400647.51857251,4956.483949697334,
2,XGBoost_1_AutoML_20190417_210453,119645657.07585192,10938.265725235053,119645657.07585192,4951.189072621323,
3,GBM_4_AutoML_20190417_210453,120421237.71502104,10973.661089856068,120421237.71502104,5127.5202779008005,
4,XGBoost_2_AutoML_20190417_205327,121003612.42279616,11000.164199810662,121003612.42279616,5045.343321588208,
5,GBM_3_AutoML_20190417_204446,121198991.284272,11009.041342654318,121198991.284272,5129.597490728228,
6,XGBoost_grid_1_AutoML_20190417_210453_model_4,121280962.73801309,11012.76362853635,121280962.73801309,5029.315160771801,
7,GBM_4_AutoML_20190417_205327,121402229.80152889,11018.2680037077,121402229.80152889,5142.832153456142,
8,XGBoost_2_AutoML_20190417_204446,121486859.02302168,11022.107739585095,121486859.02302168,5037.260491959731,
9,XGBoost_grid_1_AutoML_20190417_210453_model_2,121722216.68663906,11032.779191420403,121722216.68663906,4887.967478807334,
10,GBM_3_AutoML_20190417_210453,121936143.3291583,11042.46998316764,121936143.3291583,5169.510279341214,
11,GBM_2_AutoML_20190417_204446,121983723.3244664,11044.624182128897,121983723.3244664,5151.171069052629,
12,GBM_1_AutoML_20190417_205327,122024228.33983286,11046.457728151267,122024228.33983286,5136.0433343050845,
13,GBM_1_AutoML_20190417_210453,122240219.6078162,11056.229900278677,122240219.6078162,5124.379340224941,
14,GBM_1_AutoML_20190417_204446,122317047.7470508,11059.703782066264,122317047.7470508,5199.134704173706,
15,GBM_3_AutoML_20190417_205327,122430659.26305258,11064.838871987815,122430659.26305258,5169.904928613536,
16,GBM_4_AutoML_20190417_204446,122801460.50350341,11081.582039740691,122801460.50350341,5140.187618277063,
17,XGBoost_2_AutoML_20190417_210453,123598734.64175124,11117.49677948014,123598734.64175124,5046.370578209725,
18,GBM_2_AutoML_20190417_205327,123974897.18666764,11134.401519016084,123974897.18666764,5174.027256428177,
19,XGBoost_grid_1_AutoML_20190417_210453_model_5,124294495.70875312,11148.744131459522,124294495.70875312,5236.301191865043,
20,GBM_2_AutoML_20190417_210453,124673116.6663958,11165.711650691854,124673116.6663958,5180.826470563343,
21,XGBoost_grid_1_AutoML_20190417_205327_model_2,125692178.9968539,11211.252338470214,125692178.9968539,5071.029397225623,
22,GBM_grid_1_AutoML_20190417_205327_model_4,131766781.58573613,11478.971277328648,131766781.58573613,5485.944763830523,
23,XGBoost_3_AutoML_20190417_205327,133757278.62416875,11565.348184303348,133757278.62416875,5389.211195189179,
24,GBM_grid_1_AutoML_20190417_210453_model_3,133881576.01199314,11570.720634947207,133881576.01199314,5410.66615182979,
25,XGBoost_3_AutoML_20190417_204446,134034456.39006156,11577.325096500554,134034456.39006156,5367.261093244623,
26,DRF_1_AutoML_20190417_210453,134705708.9981997,11606.278860952792,134705708.9981997,4862.273772310277,1.5657948384495897
27,GBM_grid_1_AutoML_20190417_204446_model_2,134736169.23225614,11607.591017616709,134736169.23225614,5275.935007068864,
28,DRF_1_AutoML_20190417_205327,135412735.27440616,11636.697782206347,135412735.27440616,4888.282644387519,1.560521318228929
29,XGBoost_3_AutoML_20190417_210453,135715467.79781005,11649.698184837669,135715467.79781005,5439.507011931689,
30,XRT_1_AutoML_20190417_205327,137932618.14504042,11744.47181209272,137932618.14504042,4929.610714070868,1.8474285723677777
31,DRF_1_AutoML_20190417_204446,138036064.02494666,11748.875011036023,138036064.02494666,4955.157545928785,1.6900273248097288
32,XRT_1_AutoML_20190417_204446,140036272.22870702,11833.692248352034,140036272.22870702,4928.30368159253,1.7011002806379865
33,XRT_1_AutoML_20190417_210453,140205018.9072074,11840.820026805888,140205018.9072074,4967.7706406742245,1.7090935022649414
34,GBM_grid_1_AutoML_20190417_210453_model_4,140910890.2771521,11870.589297804558,140910890.2771521,6230.069647710589,
35,GBM_grid_1_AutoML_20190417_204446_model_3,141293717.5666288,11886.703393566646,141293717.5666288,6332.658768328347,
36,GBM_grid_1_AutoML_20190417_205327_model_2,144120390.49947953,12005.015222792495,144120390.49947953,6616.883947621272,
37,GBM_5_AutoML_20190417_210453,144375178.85410932,12015.62228326562,144375178.85410932,5882.541157424581,
38,GBM_5_AutoML_20190417_205327,144594529.21717766,12024.746534425483,144594529.21717766,5875.79746599207,
39,GBM_5_AutoML_20190417_204446,144685674.44382295,12028.535839570124,144685674.44382295,5853.458616728624,
40,GBM_grid_1_AutoML_20190417_204446_model_1,146308075.87247995,12095.787525931497,146308075.87247995,5733.430802563873,
41,GBM_grid_1_AutoML_20190417_210453_model_2,148954894.23344833,12204.707871696408,148954894.23344833,6821.177772189847,
42,XGBoost_grid_1_AutoML_20190417_205327_model_3,149463681.33864576,12225.533989918222,149463681.33864576,5742.770871034879,
43,XGBoost_grid_1_AutoML_20190417_204446_model_2,152374009.69397965,12343.98678280156,152374009.69397965,5994.2035095475085,
44,GBM_grid_1_AutoML_20190417_205327_model_5,155696699.62215462,12477.848357074814,155696699.62215462,7143.8272981428445,
45,GBM_grid_1_AutoML_20190417_210453_model_1,161453140.62067553,12706.421235764046,161453140.62067553,7127.868100441117,
46,XGBoost_grid_1_AutoML_20190417_210453_model_1,161636507.46675032,12713.634707146115,161636507.46675032,6421.801532262202,
47,XGBoost_grid_1_AutoML_20190417_210453_model_3,167919224.98744604,12958.365058426392,167919224.98744604,5984.932490245361,
48,GBM_grid_1_AutoML_20190417_210453_model_5,171229861.10730705,13085.482838141932,171229861.10730705,6845.950770521421,
49,GBM_grid_1_AutoML_20190417_205327_model_1,189341973.95921025,13760.158936553396,189341973.95921025,8476.006070923739,
50,DeepLearning_1_AutoML_20190417_210453,191270899.74017745,13830.07229699749,191270899.74017745,6605.913011107908,
51,DeepLearning_1_AutoML_20190417_205327,192190877.95083487,13863.292464304242,192190877.95083487,7181.393762943926,
52,GBM_grid_1_AutoML_20190417_205327_model_3,195049841.35786268,13966.024536633991,195049841.35786268,8098.835577630234,
53,DeepLearning_1_AutoML_20190417_204446,209124646.04852858,14461.142625965922,209124646.04852858,7082.3577716835225,
54,DeepLearning_grid_1_AutoML_20190417_210453_model_1,209828978.03871325,14485.474726038952,209828978.03871325,7467.431612859337,
55,DeepLearning_grid_1_AutoML_20190417_205327_model_1,228193313.48246396,15106.068763330315,228193313.48246396,8180.700616546516,
56,DeepLearning_grid_1_AutoML_20190417_210453_model_4,246137835.20066327,15688.780551740256,246137835.20066327,9107.125636868415,
57,DeepLearning_grid_1_AutoML_20190417_205327_model_2,256580368.3366592,16018.126242999184,256580368.3366592,9196.865901109113,
58,DeepLearning_grid_1_AutoML_20190417_210453_model_2,266473266.98860297,16324.008912905034,266473266.98860297,9582.088481429244,
59,DeepLearning_grid_1_AutoML_20190417_205327_model_4,277534591.7375416,16659.36948799508,277534591.7375416,9435.525917156168,
60,DeepLearning_grid_1_AutoML_20190417_204446_model_2,298400742.5156202,17274.279797306168,298400742.5156202,9679.322807435918,
61,XGBoost_grid_1_AutoML_20190417_204446_model_3,300199051.3189886,17326.25323949147,300199051.3189886,9992.476328967128,
62,DeepLearning_grid_1_AutoML_20190417_204446_model_1,306490541.7182597,17506.871271539632,306490541.7182597,9527.347309825866,
63,DeepLearning_grid_1_AutoML_20190417_205327_model_3,312364641.40110934,17673.840595668767,312364641.40110934,10887.105799793,
64,DeepLearning_grid_1_AutoML_20190417_210453_model_3,585829024.2949296,24203.905145553053,585829024.2949296,15344.832875397473,
65,GBM_grid_1_AutoML_20190417_210453_model_6,664610622.4399638,25780.043103919816,664610622.4399638,20456.753528779336,5.163724226635766
66,GBM_grid_1_AutoML_20190417_205327_model_6,670743325.6798958,25898.71281897801,670743325.6798958,19835.468229389433,5.092283971651549
67,XGBoost_grid_1_AutoML_20190417_205327_model_1,924999418.8512725,30413.80309746337,924999418.8512725,13015.66757334333,
68,GBM_grid_1_AutoML_20190417_204446_model_4,1279154551.9974587,35765.27019326792,1279154551.9974587,28679.96933354701,5.373776130169052
69,StackedEnsemble_AllModels_AutoML_20190417_204446,1281884652.7001464,35803.41677410337,1281884652.7001464,28880.51603861719,5.389777690947523
70,GBM_grid_1_AutoML_20190417_205327_model_7,1444992899.546268,38013.062222692184,1444992899.546268,30698.82246592567,5.424277133379049
71,StackedEnsemble_BestOfFamily_AutoML_20190417_204446,1858504985.9833732,43110.38141774407,1858504985.9833732,34900.190106649265,5.507788208150921
72,GLM_grid_1_AutoML_20190417_205327_model_1,2174167259.9716334,46627.96650049875,2174167259.9716334,37785.61120847372,5.558006331063907
73,GLM_grid_1_AutoML_20190417_204446_model_1,2174167259.9716334,46627.96650049875,2174167259.9716334,37785.61120847372,5.558006331063907
74,GLM_grid_1_AutoML_20190417_210453_model_1,2174167259.9716334,46627.96650049875,2174167259.9716334,37785.61120847372,5.558006331063907
75,XGBoost_grid_1_AutoML_20190417_204446_model_1,3197076988.513444,56542.70057676273,3197076988.513444,34971.23428908065,
